Trd, 000017.269, 131
Trd, 000022.385, 146
Trd, 000036.077, 142
Trd, 000040.385, 139
Trd, 000048.385, 144
Trd, 000053.654, 115
Trd, 000069.962, 129
Trd, 000095.808, 134
Trd, 000098.808, 129
Trd, 000106.462, 128
Trd, 000117.308, 124
Trd, 000137.423, 133
Trd, 000151.000, 131
Trd, 000155.346, 130
Trd, 000159.808, 127
Trd, 000186.346, 121
Trd, 000199.769, 130
Trd, 000202.692, 127
Trd, 000217.462, 133
Trd, 000219.846, 137
Trd, 000229.654, 133
Trd, 000241.462, 121
Trd, 000251.115, 127
Trd, 000257.538, 129
Trd, 000265.615, 147
Trd, 000274.615, 133
Trd, 000280.115, 118
Trd, 000300.192, 128
Trd, 000302.654, 126
Trd, 000313.077, 112
Trd, 000331.000, 149
Trd, 000345.692, 125
Trd, 000352.923, 120
Trd, 000359.192, 121
Trd, 000361.769, 127
Trd, 000373.538, 125
Trd, 000375.077, 132
Trd, 000377.885, 120
Trd, 000383.038, 122
Trd, 000389.346, 131
Trd, 000395.231, 133
Trd, 000451.654, 146
Trd, 000455.462, 138
Trd, 000471.038, 132
Trd, 000481.846, 109
Trd, 000492.731, 134
Trd, 000501.538, 133
Trd, 000522.692, 133
Trd, 000537.346, 124
Trd, 000545.000, 121
Trd, 000546.731, 129
Trd, 000547.154, 141
Trd, 000550.000, 115
Trd, 000569.654, 125
Trd, 000574.962, 123
Trd, 000581.615, 129
Trd, 000586.462, 133
Trd, 000595.308, 135
Trd, 000603.115, 134
Trd, 000621.731, 129
Trd, 000631.231, 127
Trd, 000638.038, 113
Trd, 000655.808, 137
Trd, 000661.846, 125
Trd, 000664.077, 138
Trd, 000675.269, 141
Trd, 000690.385, 143
Trd, 000692.308, 137
Trd, 000712.692, 140
Trd, 000722.192, 143
Trd, 000730.231, 142
Trd, 000760.808, 119
Trd, 000767.923, 128
Trd, 000776.346, 131
Trd, 000780.077, 129
Trd, 000790.269, 136
Trd, 000796.385, 131
Trd, 000817.192, 135
Trd, 000823.077, 141
Trd, 000832.769, 148
Trd, 000844.423, 136
Trd, 000851.500, 127
Trd, 000851.769, 131
Trd, 000860.154, 146
Trd, 000895.538, 136
Trd, 000898.769, 133
Trd, 000904.423, 130
Trd, 000919.769, 123
Trd, 000947.346, 116
Trd, 000953.231, 115
Trd, 000953.846, 123
Trd, 000961.731, 132
Trd, 000971.346, 135
Trd, 000979.846, 128
Trd, 000981.885, 131
Trd, 001001.038, 123
Trd, 001007.885, 123
Trd, 001034.308, 121
Trd, 001037.885, 126
Trd, 001061.885, 125
Trd, 001078.615, 116
Trd, 001082.346, 114
Trd, 001083.000, 126
Trd, 001116.769, 118
Trd, 001117.846, 114
Trd, 001128.500, 119
Trd, 001146.423, 127
Trd, 001164.346, 130
Trd, 001168.462, 126
Trd, 001176.846, 145
Trd, 001184.962, 121
Trd, 001191.654, 128
Trd, 001205.577, 128
Trd, 001207.846, 119
Trd, 001220.269, 128
Trd, 001221.500, 124
